2026-05-12 13:19:05 [INF] HTTP GET /Admin/WeaponTypes responded 200 in 302.3448 ms {"SourceContext":"Serilog.AspNetCore.RequestLoggingMiddleware","RequestId":"0HNLG30MPBFI8:00000019","ConnectionId":"0HNLG30MPBFI8","MachineName":"BERINNOTEBOOK","ProcessId":39024,"ThreadId":24}
2026-05-12 13:19:14 [INF] HTTP GET /Admin/DataCapture responded 200 in 7.7546 ms {"SourceContext":"Serilog.AspNetCore.RequestLoggingMiddleware","RequestId":"0HNLG30MPBFI8:0000001F","ConnectionId":"0HNLG30MPBFI8","MachineName":"BERINNOTEBOOK","ProcessId":39024,"ThreadId":24}
2026-05-12 13:20:34 [INF] HTTP GET /Language/ChangeLanguage responded 302 in 27.0725 ms {"SourceContext":"Serilog.AspNetCore.RequestLoggingMiddleware","RequestId":"0HNLG30MPBFI8:00000023","ConnectionId":"0HNLG30MPBFI8","MachineName":"BERINNOTEBOOK","ProcessId":39024,"ThreadId":28}
2026-05-12 13:20:34 [INF] HTTP GET /Admin/DataCapture responded 200 in 15.1952 ms {"SourceContext":"Serilog.AspNetCore.RequestLoggingMiddleware","RequestId":"0HNLG30MPBFI8:00000025","ConnectionId":"0HNLG30MPBFI8","MachineName":"BERINNOTEBOOK","ProcessId":39024,"ThreadId":23}
2026-05-12 13:20:39 [INF] HTTP GET /Language/ChangeLanguage responded 302 in 1.7385 ms {"SourceContext":"Serilog.AspNetCore.RequestLoggingMiddleware","RequestId":"0HNLG30MPBFI8:0000002B","ConnectionId":"0HNLG30MPBFI8","MachineName":"BERINNOTEBOOK","ProcessId":39024,"ThreadId":29}
2026-05-12 13:20:39 [INF] HTTP GET /Admin/DataCapture responded 200 in 6.9352 ms {"SourceContext":"Serilog.AspNetCore.RequestLoggingMiddleware","RequestId":"0HNLG30MPBFI8:0000002D","ConnectionId":"0HNLG30MPBFI8","MachineName":"BERINNOTEBOOK","ProcessId":39024,"ThreadId":23}
2026-05-12 13:20:43 [INF] HTTP GET /.well-known/appspecific/com.chrome.devtools.json responded 404 in 4.2095 ms {"SourceContext":"Serilog.AspNetCore.RequestLoggingMiddleware","RequestId":"0HNLG30MPBFI8:00000033","ConnectionId":"0HNLG30MPBFI8","MachineName":"BERINNOTEBOOK","ProcessId":39024,"ThreadId":28}
2026-05-12 13:20:43 [INF] HTTP GET /assets/maps/style.css.map responded 404 in 1.0395 ms {"SourceContext":"Serilog.AspNetCore.RequestLoggingMiddleware","RequestId":"0HNLG30MPBFI8:00000035","ConnectionId":"0HNLG30MPBFI8","MachineName":"BERINNOTEBOOK","ProcessId":39024,"ThreadId":29}
2026-05-12 13:21:17 [INF] HTTP GET /.well-known/appspecific/com.chrome.devtools.json responded 404 in 1.1669 ms {"SourceContext":"Serilog.AspNetCore.RequestLoggingMiddleware","RequestId":"0HNLG30MPBFI8:00000037","ConnectionId":"0HNLG30MPBFI8","MachineName":"BERINNOTEBOOK","ProcessId":39024,"ThreadId":29}
2026-05-12 13:21:17 [INF] HTTP GET /assets/maps/style.css.map responded 404 in 0.9886 ms {"SourceContext":"Serilog.AspNetCore.RequestLoggingMiddleware","RequestId":"0HNLG30MPBFI8:00000039","ConnectionId":"0HNLG30MPBFI8","MachineName":"BERINNOTEBOOK","ProcessId":39024,"ThreadId":29}
